2026-01-16T21:41:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:27+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:29+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:31+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:33+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:35+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:48+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:07+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:08+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:09+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:10+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:11+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:13+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:15+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:21+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:23+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:25+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:27+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:29+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:31+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:33+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:35+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:48+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:42:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:42:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:43:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:43:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:43:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:43:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:43:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:43:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:43:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:43:07+01:00,user_1,60.00,0.00,Skipped,normal
